Player,POS,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Josh Allen,QB,19,178.62,9.4010,0.2293,0.1141,105.4698,0.2441,0.1628,73.15,0.5584,0.00,0.0000,0.0000
Brock Purdy,QB,18,169.33,9.4071,0.3002,0.1155,155.7787,0.4438,0.3031,13.55,0.2710,0.00,0.0000,0.0000
Dak Prescott,QB,18,114.71,6.3728,0.1613,0.0751,97.8646,0.2170,0.1506,16.85,0.2762,0.00,0.0000,0.0000
Jordan Love,QB,19,107.85,5.6765,0.1563,0.0720,118.6686,0.2901,0.1872,-10.81,-0.1931,0.00,0.0000,0.0000
Patrick Mahomes,QB,19,101.10,5.3210,0.1281,0.0630,81.3817,0.1728,0.1163,19.72,0.2215,0.00,0.0000,0.0000
CeeDee Lamb,WR,18,98.75,5.4858,0.4636,0.0646,0.0000,0.0000,0.0000,7.75,0.5165,91.00,0.6319,0.4596
Jared Goff,QB,20,94.00,4.6998,0.1242,0.0562,117.9607,0.2437,0.1647,-23.97,-0.5845,0.00,0.0000,0.0000
Tyreek Hill,WR,17,91.25,5.3676,0.4932,0.0640,0.0000,0.0000,0.0000,-1.20,-0.1995,92.45,0.7455,0.5165
Amon-Ra St. Brown,WR,19,87.45,4.6026,0.4308,0.0523,-1.9746,0.0000,0.0000,0.40,0.0807,89.02,0.6314,0.4496
Brandon Aiyuk,WR,18,86.83,4.8238,0.7296,0.0592,0.0000,0.0000,0.0000,0.00,0.0000,86.83,1.0719,0.7296
Puka Nacua,WR,18,85.54,4.7525,0.4675,0.0580,0.0000,0.0000,0.0000,2.71,0.2083,82.84,0.7266,0.4873
C.J. Stroud,QB,17,83.32,4.9012,0.1396,0.0545,80.5580,0.2276,0.1457,3.50,0.0815,-0.74,-0.7420,-0.7420
Tua Tagovailoa,QB,18,82.62,4.5897,0.1297,0.0580,118.9186,0.2915,0.1985,-36.30,-0.9554,0.00,0.0000,0.0000
Nico Collins,WR,17,81.10,4.7708,0.6336,0.0530,0.0000,0.0000,0.0000,0.30,0.1477,80.81,0.8880,0.6413
Lamar Jackson,QB,18,80.86,4.4924,0.1182,0.0524,55.9688,0.1632,0.1085,23.62,0.1414,1.28,1.2756,1.2756
Matthew Stafford,QB,16,78.78,4.9240,0.1363,0.0534,75.2469,0.2144,0.1351,3.54,0.1684,0.00,0.0000,0.0000
Jalen Hurts,QB,18,78.72,4.3733,0.1077,0.0533,57.2750,0.1519,0.1000,21.44,0.1357,0.00,0.0000,0.0000
Travis Kelce,TE,18,74.27,4.1261,0.4985,0.0463,0.0000,0.0000,0.0000,0.49,0.4901,73.78,0.6360,0.4985
George Kittle,TE,18,67.56,3.7531,0.6689,0.0461,0.0000,0.0000,0.0000,0.61,0.6144,66.94,0.9428,0.6694
Keenan Allen,WR,13,65.98,5.0753,0.4284,0.0470,3.4642,3.4642,1.7321,0.16,0.0785,62.36,0.5774,0.4157
A.J. Brown,WR,17,64.54,3.7965,0.4085,0.0437,0.0000,0.0000,0.0000,0.00,0.0000,64.54,0.6089,0.4085
D.J. Moore,WR,17,63.68,3.7457,0.4548,0.0459,0.0000,0.0000,0.0000,-1.58,-0.3962,65.26,0.6798,0.4799
Mike Evans,WR,19,61.53,3.2386,0.3970,0.0406,0.0000,0.0000,0.0000,0.00,0.0000,61.53,0.6837,0.3970
Adam Thielen,WR,17,59.26,3.4862,0.4295,0.0419,0.0000,0.0000,0.0000,0.29,0.2863,58.98,0.5726,0.4305
